。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
茵 : 盏 0 | 睁 1 | 腻 2 | 冕 3 | 睐 4 | 坠 5 | 讳 6 | 沥 7 | 蔽 8 | 璐 9 | 

哗 : 坠 0 | 沥 1 | 冕 2 | 璐 3 | 睁 4 | 嗓 5 | 盏 6 | 襟 7 | 腻 8 | 纬 9 | 

敷 : 嗓 0 | 襟 1 | 璐 2 | 纬 3 | 沥 4 | 谣 5 | 坠 6 | 宵 7 | 冕 8 | 詹 9 | 

拴 : 谣 0 | 宵 1 | 纬 2 | 詹 3 | 襟 4 | 羞 5 | 嗓 6 | 潇 7 | 璐 8 | 峪 9 | 

痪 : 羞 0 | 潇 1 | 詹 2 | 峪 3 | 宵 4 | 凿 5 | 谣 6 | 枉 7 | 纬 8 | 帘 9 | 

匀 : 凿 0 | 枉 1 | 峪 2 | 帘 3 | 潇 4 | 桦 5 | 羞 6 | 旷 7 | 詹 8 | 坷 9 | 

楝 : 桦 0 | 旷 1 | 帘 2 | 坷 3 | 枉 4 | 燥 5 | 凿 6 | 斧 7 | 峪 8 | 聋 9 | 

磅 : 燥 0 | 斧 1 | 坷 2 | 聋 3 | 旷 4 | 嚣 5 | 桦 6 | ｓ 7 | 帘 8 | 穗 9 | 

毯 : 嚣 0 | ｓ 1 | 聋 2 | 穗 3 | 斧 4 | 蒲 5 | 燥 6 | 犁 7 | 坷 8 | 潍 9 | 

浊 : 蒲 0 | 犁 1 | 穗 2 | 潍 3 | ｓ 4 | 淌 5 | 嚣 6 | 橄 7 | 聋 8 | 尬 9 | 

牡 : 淌 0 | 橄 1 | 潍 2 | 尬 3 | 犁 4 | 尴 5 | 蒲 6 | 棘 7 | 穗 8 | 骆 9 | 

殴 : 尴 0 | 棘 1 | 尬 2 | 骆 3 | 橄 4 | 嵌 5 | 淌 6 | 蚕 7 | 潍 8 | 苟 9 | 

琨 : 嵌 0 | 蚕 1 | 骆 2 | 苟 3 | 棘 4 | 喘 5 | 尴 6 | 莞 7 | 尬 8 | 涩 9 | 

懒 : 喘 0 | 莞 1 | 苟 2 | 涩 3 | 蚕 4 | 豁 5 | 嵌 6 | 屿 7 | 骆 8 | 贞 9 | 

穴 : 豁 0 | 屿 1 | 涩 2 | 贞 3 | 莞 4 | 茬 5 | 喘 6 | 瘾 7 | 苟 8 | 匪 9 | 

呐 : 茬 0 | 瘾 1 | 贞 2 | 匪 3 | 屿 4 | 凳 5 | 豁 6 | 烛 7 | 涩 8 | 哑 9 | 

拌 : 凳 0 | 烛 1 | 匪 2 | 哑 3 | 瘾 4 | 膏 5 | 茬 6 | 廿 7 | 贞 8 | 翩 9 | 

鞍 : 膏 0 | 廿 1 | 哑 2 | 翩 3 | 烛 4 | 粘 5 | 凳 6 | 碟 7 | 匪 8 | 孚 9 | 

诀 : 粘 0 | 碟 1 | 翩 2 | 孚 3 | 廿 4 | 昧 5 | 膏 6 | 坟 7 | 哑 8 | 镶 9 | 

秭 : 昧 0 | 坟 1 | 孚 2 | 镶 3 | 碟 4 | 僧 5 | 粘 6 | 笋 7 | 翩 8 | 咽 9 | 

椰 : 僧 0 | 笋 1 | 镶 2 | 咽 3 | 坟 4 | 撕 5 | 昧 6 | 捡 7 | 孚 8 | 驼 9 | 

刁 : 撕 0 | 捡 1 | 咽 2 | 驼 3 | 笋 4 | 佑 5 | 僧 6 | 煮 7 | 镶 8 | 磅 9 | 

袱 : 佑 0 | 煮 1 | 驼 2 | 磅 3 | 捡 4 | 轩 5 | 撕 6 | 澧 7 | 咽 8 | 懒 9 | 

吵 : 轩 0 | 澧 1 | 磅 2 | 懒 3 | 煮 4 | 荧 5 | 佑 6 | 闵 7 | 驼 8 | 墟 9 | 

杼 : 荧 0 | 闵 1 | 懒 2 | 墟 3 | 澧 4 | 菱 5 | 轩 6 | 硅 7 | 磅 8 | 玫 9 | 

〉 : 菱 0 | 硅 1 | 墟 2 | 玫 3 | 闵 4 | 兜 5 | 荧 6 | 瞧 7 | 懒 8 | 琅 9 | 

楷 : 兜 0 | 瞧 1 | 玫 2 | 琅 3 | 硅 4 | 磷 5 | 菱 6 | 妆 7 | 墟 8 | 槐 9 | 

鹭 : 磷 0 | 妆 1 | 琅 2 | 槐 3 | 瞧 4 | 矢 5 | 兜 6 | 寇 7 | 玫 8 | 渍 9 | 

甬 : 矢 0 | 寇 1 | 槐 2 | 渍 3 | 妆 4 | 氮 5 | 磷 6 | 吻 7 | 琅 8 | 槽 9 | 

凿 : 氮 0 | 吻 1 | 渍 2 | 槽 3 | 寇 4 | 裸 5 | 矢 6 | 俏 7 | 槐 8 | 硝 9 | 

侮 : 裸 0 | 俏 1 | 槽 2 | 硝 3 | 吻 4 | 膝 5 | 氮 6 | 媚 7 | 渍 8 | 窟 9 | 

糟 : 膝 0 | 媚 1 | 硝 2 | 窟 3 | 俏 4 | 徇 5 | 裸 6 | 耿 7 | 槽 8 | 喉 9 | 

羞 : 徇 0 | 耿 1 | 窟 2 | 喉 3 | 媚 4 | 吵 5 | 膝 6 | 缪 7 | 硝 8 | 辍 9 | 

烽 : 吵 0 | 缪 1 | 喉 2 | 辍 3 | 耿 4 | 忱 5 | 徇 6 | 茜 7 | 窟 8 | 妄 9 | 

ｇ : 忱 0 | 茜 1 | 辍 2 | 妄 3 | 缪 4 | 烫 5 | 吵 6 | 泵 7 | 喉 8 | 涡 9 | 

恤 : 烫 0 | 泵 1 | 妄 2 | 涡 3 | 茜 4 | 戌 5 | 忱 6 | 灼 7 | 辍 8 | 腺 9 | 

斡 : 戌 0 | 灼 1 | 涡 2 | 腺 3 | 泵 4 | ｍ 5 | 烫 6 | 啃 7 | 妄 8 | 凰 9 | 

耿 : ｍ 0 | 啃 1 | 腺 2 | 凰 3 | 灼 4 | 蒜 5 | 戌 6 | 踞 7 | 涡 8 | 岱 9 | 

淌 : 蒜 0 | 踞 1 | 凰 2 | 岱 3 | 啃 4 | 彤 5 | ｍ 6 | 猴 7 | 腺 8 | 靶 9 | 

剔 : 彤 0 | 猴 1 | 岱 2 | 靶 3 | 踞 4 | 糟 5 | 蒜 6 | 佼 7 | 凰 8 | ｐ 9 | 

铢 : 糟 0 | 佼 1 | 靶 2 | ｐ 3 | 猴 4 | 秽 5 | 彤 6 | 焊 7 | 岱 8 | 砌 9 | 

觅 : 秽 0 | 焊 1 | ｐ 2 | 砌 3 | 佼 4 | 卑 5 | 糟 6 | 娥 7 | 靶 8 | 仑 9 | 

凳 : 卑 0 | 娥 1 | 砌 2 | 仑 3 | 焊 4 | 泌 5 | 秽 6 | 拂 7 | ｐ 8 | 椰 9 | 

虞 : 泌 0 | 拂 1 | 仑 2 | 椰 3 | 娥 4 | 捏 5 | 卑 6 | 鸦 7 | 砌 8 | 炯 9 | 

襄 : 捏 0 | 鸦 1 | 椰 2 | 炯 3 | 拂 4 | 赐 5 | 泌 6 | 昕 7 | 仑 8 | 雯 9 | 

阀 : 赐 0 | 昕 1 | 炯 2 | 雯 3 | 鸦 4 | 挝 5 | 捏 6 | 溯 7 | 椰 8 | 迢 9 | 

铮 : 挝 0 | 溯 1 | 雯 2 | 迢 3 | 昕 4 | Ｕ 5 | 赐 6 | 暮 7 | 炯 8 | 轧 9 | 

俺 : Ｕ 0 | 暮 1 | 迢 2 | 轧 3 | 溯 4 | 痪 5 | 挝 6 | 崎 7 | 雯 8 | 盎 9 | 

纂 : 痪 0 | 崎 1 | 轧 2 | 盎 3 | 暮 4 | 炊 5 | Ｕ 6 | 缸 7 | 迢 8 | 玄 9 | 

侃 : 炊 0 | 缸 1 | 盎 2 | 玄 3 | 崎 4 | 焉 5 | 痪 6 | 璞 7 | 轧 8 | 娇 9 | 

湄 : 焉 0 | 璞 1 | 玄 2 | 娇 3 | 缸 4 | 狐 5 | 炊 6 | 拣 7 | 盎 8 | 砚 9 | 

廿 : 狐 0 | 拣 1 | 娇 2 | 砚 3 | 璞 4 | 铮 5 | 焉 6 | 揣 7 | 玄 8 | 唇 9 | 

熬 : 铮 0 | 揣 1 | 砚 2 | 唇 3 | 拣 4 | 忡 5 | 狐 6 | 秤 7 | 娇 8 | 祈 9 | 

逗 : 忡 0 | 秤 1 | 唇 2 | 祈 3 | 揣 4 | 笛 5 | 铮 6 | 禅 7 | 砚 8 | 蓓 9 | 

亵 : 笛 0 | 禅 1 | 祈 2 | 蓓 3 | 秤 4 | 絮 5 | 忡 6 | 媛 7 | 唇 8 | 惹 9 | 

嗓 : 絮 0 | 媛 1 | 蓓 2 | 惹 3 | 禅 4 | 咐 5 | 笛 6 | 敷 7 | 祈 8 | 惫 9 | 

咋 : 咐 0 | 敷 1 | 惹 2 | 惫 3 | 媛 4 | 侃 5 | 絮 6 | 葆 7 | 蓓 8 | 脖 9 | 

钮 : 侃 0 | 葆 1 | 惫 2 | 脖 3 | 敷 4 | 赦 5 | 咐 6 | 〉 7 | 惹 8 | 褚 9 | 

邕 : 赦 0 | 〉 1 | 脖 2 | 褚 3 | 葆 4 | 镐 5 | 侃 6 | 傻 7 | 惫 8 | 氨 9 | 

凰 : 镐 0 | 傻 1 | 褚 2 | 氨 3 | 〉 4 | 裙 5 | 赦 6 | 沐 7 | 脖 8 | 妍 9 | 

骆 : 裙 0 | 沐 1 | 氨 2 | 妍 3 | 傻 4 | 俑 5 | 镐 6 | 麓 7 | 褚 8 | 眶 9 | 

翩 : 俑 0 | 麓 1 | 妍 2 | 眶 3 | 沐 4 | 〈 5 | 裙 6 | 蝇 7 | 氨 8 | 慑 9 | 

峭 : 〈 0 | 蝇 1 | 眶 2 | 慑 3 | 麓 4 | 渥 5 | 俑 6 | 渭 7 | 妍 8 | 瑚 9 | 

岱 : 渥 0 | 渭 1 | 慑 2 | 瑚 3 | 蝇 4 | 芹 5 | 〈 6 | 荟 7 | 眶 8 | 珀 9 | 

捏 : 芹 0 | 荟 1 | 瑚 2 | 珀 3 | 渭 4 | 谆 5 | 渥 6 | 呕 7 | 慑 8 | 怜 9 | 

炯 : 谆 0 | 呕 1 | 珀 2 | 怜 3 | 荟 4 | 删 5 | 芹 6 | 屑 7 | 瑚 8 | 眷 9 | 

倦 : 删 0 | 屑 1 | 怜 2 | 眷 3 | 呕 4 | 眺 5 | 谆 6 | 茄 7 | 珀 8 | 腑 9 | 

斩 : 眺 0 | 茄 1 | 眷 2 | 腑 3 | 屑 4 | 脾 5 | 删 6 | 墅 7 | 怜 8 | 刃 9 | 

氯 : 脾 0 | 墅 1 | 腑 2 | 刃 3 | 茄 4 | 妮 5 | 眺 6 | 扼 7 | 眷 8 | 酋 9 | 

岷 : 妮 0 | 扼 1 | 刃 2 | 酋 3 | 墅 4 | 剿 5 | 脾 6 | 凸 7 | 腑 8 | 蜡 9 | 

雯 : 剿 0 | 凸 1 | 酋 2 | 蜡 3 | 扼 4 | 杼 5 | 妮 6 | 遐 7 | 刃 8 | 浒 9 | 

鸦 : 杼 0 | 遐 1 | 蜡 2 | 浒 3 | 凸 4 | 沦 5 | 剿 6 | 舸 7 | 酋 8 | 熔 9 | 

桷 : 沦 0 | 舸 1 | 浒 2 | 熔 3 | 遐 4 | 烹 5 | 杼 6 | 嚼 7 | 蜡 8 | 澈 9 | 

佟 : 烹 0 | 嚼 1 | 熔 2 | 澈 3 | 舸 4 | 聆 5 | 沦 6 | 沓 7 | 浒 8 | 呐 9 | 

陛 : 聆 0 | 沓 1 | 澈 2 | 呐 3 | 嚼 4 | 锈 5 | 烹 6 | 攘 7 | 熔 8 | 浚 9 | 

桔 : 锈 0 | 攘 1 | 呐 2 | 浚 3 | 沓 4 | 哩 5 | 聆 6 | 匿 7 | 澈 8 | 柑 9 | 

冕 : 哩 0 | 匿 1 | 浚 2 | 柑 3 | 攘 4 | 剔 5 | 锈 6 | △ 7 | 呐 8 | 咋 9 | 

紊 : 剔 0 | △ 1 | 柑 2 | 咋 3 | 匿 4 | 匡 5 | 哩 6 | 枕 7 | 浚 8 | 爵 9 | 

卒 : 匡 0 | 枕 1 | 咋 2 | 爵 3 | △ 4 | 豹 5 | 剔 6 | 贮 7 | 柑 8 | 秃 9 | 

梧 : 豹 0 | 贮 1 | 爵 2 | 秃 3 | 枕 4 | 驿 5 | 匡 6 | 苛 7 | 咋 8 | 诀 9 | 

缤 : 驿 0 | 苛 1 | 秃 2 | 诀 3 | 贮 4 | 辄 5 | 豹 6 | 乍 7 | 爵 8 | 跪 9 | 

凛 : 辄 0 | 乍 1 | 诀 2 | 跪 3 | 苛 4 | 姨 5 | 驿 6 | ‰ 7 | 秃 8 | 讶 9 | 

壑 : 姨 0 | ‰ 1 | 跪 2 | 讶 3 | 乍 4 | 茹 5 | 辄 6 | 胚 7 | 诀 8 | 墩 9 | 

泵 : 茹 0 | 胚 1 | 讶 2 | 墩 3 | ‰ 4 | 庚 5 | 姨 6 | ｕ 7 | 跪 8 | 惟 9 | 

瑰 : 庚 0 | ｕ 1 | 墩 2 | 惟 3 | 胚 4 | 谜 5 | 茹 6 | 椎 7 | 讶 8 | 娅 9 | 

跆 : 谜 0 | 椎 1 | 惟 2 | 娅 3 | ｕ 4 | 耽 5 | 庚 6 | 抉 7 | 墩 8 | 杖 9 | 

拣 : 耽 0 | 抉 1 | 娅 2 | 杖 3 | 椎 4 | 搅 5 | 谜 6 | 赉 7 | 惟 8 | 蝴 9 | 

仕 : 搅 0 | 赉 1 | 杖 2 | 蝴 3 | 抉 4 | 诲 5 | 耽 6 | 涧 7 | 娅 8 | 苇 9 | 

睫 : 诲 0 | 涧 1 | 蝴 2 | 苇 3 | 赉 4 | 缀 5 | 搅 6 | 贻 7 | 杖 8 | 戎 9 | 

猴 : 缀 0 | 贻 1 | 苇 2 | 戎 3 | 涧 4 | 沽 5 | 诲 6 | 凄 7 | 蝴 8 | 斩 9 | 

沁 : 沽 0 | 凄 1 | 戎 2 | 斩 3 | 贻 4 | 宠 5 | 缀 6 | 泸 7 | 苇 8 | 煞 9 | 

峙 : 宠 0 | 泸 1 | 斩 2 | 煞 3 | 凄 4 | 扒 5 | 沽 6 | 霄 7 | 戎 8 | 纂 9 | 

氨 : 扒 0 | 霄 1 | 煞 2 | 纂 3 | 泸 4 | 峭 5 | 宠 6 | 兮 7 | 斩 8 | 酱 9 | 

焉 : 峭 0 | 兮 1 | 纂 2 | 酱 3 | 霄 4 | 嬉 5 | 扒 6 | 栅 7 | 煞 8 | 腕 9 | 

锄 : 嬉 0 | 栅 1 | 酱 2 | 腕 3 | 兮 4 | 钮 5 | 峭 6 | 臻 7 | 纂 8 | 砥 9 | 

腕 : 钮 0 | 臻 1 | 腕 2 | 砥 3 | 栅 4 | 颐 5 | 嬉 6 | 靡 7 | 酱 8 | 榻 9 | 

摒 : 颐 0 | 靡 1 | 砥 2 | 榻 3 | 臻 4 | 烘 5 | 钮 6 | 掺 7 | 腕 8 | 屹 9 | 

莺 : 烘 0 | 掺 1 | 榻 2 | 屹 3 | 靡 4 | 绞 5 | 颐 6 | 渺 7 | 砥 8 | ｈ 9 | 

颐 : 绞 0 | 渺 1 | 屹 2 | ｈ 3 | 掺 4 | 烯 5 | 烘 6 | 蹦 7 | 榻 8 | 琐 9 | 

衅 : 烯 0 | 蹦 1 | ｈ 2 | 琐 3 | 渺 4 | 柿 5 | 绞 6 | 惶 7 | 屹 8 | 梧 9 | 

粪 : 柿 0 | 惶 1 | 琐 2 | 梧 3 | 蹦 4 | 哇 5 | 烯 6 | 竿 7 | ｈ 8 | 雏 9 | 

啸 : 哇 0 | 竿 1 | 梧 2 | 雏 3 | 惶 4 | 傣 5 | 柿 6 | 衢 7 | 琐 8 | 咄 9 | 

侣 : 傣 0 | 衢 1 | 雏 2 | 咄 3 | 竿 4 | 韶 5 | 哇 6 | 淳 7 | 梧 8 | 矣 9 | 

媛 : 韶 0 | 淳 1 | 咄 2 | 矣 3 | 衢 4 | 栩 5 | 傣 6 | 瓣 7 | 雏 8 | 祺 9 | 

髦 : 栩 0 | 瓣 1 | 矣 2 | 祺 3 | 淳 4 | 踵 5 | 韶 6 | 洙 7 | 咄 8 | 韬 9 | 

哉 : 踵 0 | 洙 1 | 祺 2 | 韬 3 | 瓣 4 | 虞 5 | 栩 6 | 曦 7 | 矣 8 | 涪 9 | 

肾 : 虞 0 | 曦 1 | 韬 2 | 涪 3 | 洙 4 | 讴 5 | 踵 6 | 凛 7 | 祺 8 | 榨 9 | 

葆 : 讴 0 | 凛 1 | 涪 2 | 榨 3 | 曦 4 | 缤 5 | 虞 6 | 隘 7 | 韬 8 | 氢 9 | 

陲 : 缤 0 | 隘 1 | 榨 2 | 氢 3 | 凛 4 | 篆 5 | 讴 6 | 窜 7 | 涪 8 | 氟 9 | 

夷 : 篆 0 | 窜 1 | 氢 2 | 氟 3 | 隘 4 | 庇 5 | 缤 6 | 贼 7 | 榨 8 | 毋 9 | 

岔 : 庇 0 | 贼 1 | 氟 2 | 毋 3 | 窜 4 | 裴 5 | 篆 6 | 矗 7 | 氢 8 | 漪 9 | 

咐 : 裴 0 | 矗 1 | 毋 2 | 漪 3 | 贼 4 | 坍 5 | 庇 6 | 巫 7 | 氟 8 | 蜀 9 | 

菏 : 坍 0 | 巫 1 | 漪 2 | 蜀 3 | 矗 4 | 蚊 5 | 裴 6 | 堕 7 | 毋 8 | 炕 9 | 

邃 : 蚊 0 | 堕 1 | 蜀 2 | 炕 3 | 巫 4 | 棺 5 | 坍 6 | 吼 7 | 漪 8 | 恙 9 | 

娅 : 棺 0 | 吼 1 | 炕 2 | 恙 3 | 堕 4 | 碘 5 | 蚊 6 | 皱 7 | 蜀 8 | 仕 9 | 

篓 : 碘 0 | 皱 1 | 恙 2 | 仕 3 | 吼 4 | 瀑 5 | 棺 6 | 盔 7 | 炕 8 | 匮 9 | 

诠 : 瀑 0 | 盔 1 | 仕 2 | 匮 3 | 皱 4 | 孵 5 | 碘 6 | 冼 7 | 恙 8 | 犬 9 | 

蠢 : 孵 0 | 冼 1 | 匮 2 | 犬 3 | 盔 4 | 沁 5 | 瀑 6 | 锹 7 | 仕 8 | 瑜 9 | 

胥 : 沁 0 | 锹 1 | 犬 2 | 瑜 3 | 冼 4 | 烨 5 | 孵 6 | 瀚 7 | 匮 8 | 怠 9 | 

瑜 : 烨 0 | 瀚 1 | 瑜 2 | 怠 3 | 锹 4 | 蹄 5 | 沁 6 | 铎 7 | 犬 8 | 淄 9 | 

琐 : 蹄 0 | 铎 1 | 怠 2 | 淄 3 | 瀚 4 | 潢 5 | 烨 6 | 紊 7 | 瑜 8 | 殡 9 | 

猥 : 潢 0 | 紊 1 | 淄 2 | 殡 3 | 铎 4 | 窘 5 | 蹄 6 | 羁 7 | 怠 8 | 滤 9 | 

苛 : 窘 0 | 羁 1 | 殡 2 | 滤 3 | 紊 4 | 辙 5 | 潢 6 | 绽 7 | 淄 8 | 毗 9 | 

跤 : 辙 0 | 绽 1 | 滤 2 | 毗 3 | 羁 4 | 贱 5 | 窘 6 | ｄ 7 | 殡 8 | 梳 9 | 

隙 : 贱 0 | ｄ 1 | 毗 2 | 梳 3 | 绽 4 | 礴 5 | 辙 6 | 恤 7 | 滤 8 | 甬 9 | 

淆 : 礴 0 | 恤 1 | 梳 2 | 甬 3 | ｄ 4 | 祁 5 | 贱 6 | 帖 7 | 毗 8 | 郡 9 | 

酱 : 祁 0 | 帖 1 | 甬 2 | 郡 3 | 恤 4 | 勿 5 | 礴 6 | 崴 7 | 梳 8 | 钙 9 | 

筝 : 勿 0 | 崴 1 | 郡 2 | 钙 3 | 帖 4 | 逗 5 | 祁 6 | 寝 7 | 甬 8 | 潺 9 | 

佣 : 逗 0 | 寝 1 | 钙 2 | 潺 3 | 崴 4 | 肴 5 | 勿 6 | 桓 7 | 郡 8 | 揪 9 | 

啼 : 肴 0 | 桓 1 | 潺 2 | 揪 3 | 寝 4 | 耍 5 | 逗 6 | 侄 7 | 钙 8 | 劈 9 | 

匡 : 耍 0 | 侄 1 | 揪 2 | 劈 3 | 桓 4 | 蕉 5 | 肴 6 | 筐 7 | 潺 8 | 眸 9 | 

坯 : 蕉 0 | 筐 1 | 劈 2 | 眸 3 | 侄 4 | 棕 5 | 耍 6 | 亢 7 | 揪 8 | 炜 9 | 

趴 : 棕 0 | 亢 1 | 眸 2 | 炜 3 | 筐 4 | Ｙ 5 | 蕉 6 | 馒 7 | 劈 8 | 筷 9 | 

抠 : Ｙ 0 | 馒 1 | 炜 2 | 筷 3 | 亢 4 | 禾 5 | 棕 6 | 佣 7 | 眸 8 | 殴 9 | 

笃 : 禾 0 | 佣 1 | 筷 2 | 殴 3 | 馒 4 | 掷 5 | Ｙ 6 | 镀 7 | 炜 8 | 澡 9 | 

漉 : 掷 0 | 镀 1 | 殴 2 | 澡 3 | 佣 4 | 恍 5 | 禾 6 | 锚 7 | 筷 8 | 绰 9 | 

侄 : 恍 0 | 锚 1 | 澡 2 | 绰 3 | 镀 4 | 摒 5 | 掷 6 | 弓 7 | 殴 8 | 瘠 9 | 

盏 : 摒 0 | 弓 1 | 绰 2 | 瘠 3 | 锚 4 | 籽 5 | 恍 6 | 褐 7 | 澡 8 | 骏 9 | 

痫 : 籽 0 | 褐 1 | 瘠 2 | 骏 3 | 弓 4 | 哉 5 | 摒 6 | 辗 7 | 绰 8 | 氓 9 | 

钊 : 哉 0 | 辗 1 | 骏 2 | 氓 3 | 褐 4 | 亥 5 | 籽 6 | 汶 7 | 瘠 8 | 锯 9 | 

佑 : 亥 0 | 汶 1 | 氓 2 | 锯 3 | 辗 4 | 篪 5 | 哉 6 | 荔 7 | 骏 8 | 膊 9 | 

迩 : 篪 0 | 荔 1 | 锯 2 | 膊 3 | 汶 4 | 藉 5 | 亥 6 | 拌 7 | 氓 8 | 滦 9 | 

皱 : 藉 0 | 拌 1 | 膊 2 | 滦 3 | 荔 4 | 炽 5 | 篪 6 | 莓 7 | 锯 8 | 簸 9 | 

炜 : 炽 0 | 莓 1 | 滦 2 | 簸 3 | 拌 4 | 譬 5 | 藉 6 | 穹 7 | 膊 8 | 溅 9 | 

掷 : 譬 0 | 穹 1 | 簸 2 | 溅 3 | 莓 4 | 锄 5 | 炽 6 | 娄 7 | 滦 8 | 蚁 9 | 

涅 : 锄 0 | 娄 1 | 溅 2 | 蚁 3 | 穹 4 | 胳 5 | 譬 6 | 璀 7 | 簸 8 | 峦 9 | 

孵 : 胳 0 | 璀 1 | 蚁 2 | 峦 3 | 娄 4 | 娩 5 | 锄 6 | 漾 7 | 溅 8 | 窖 9 | 

窘 : 娩 0 | 漾 1 | 峦 2 | 窖 3 | 璀 4 | 刁 5 | 胳 6 | 憋 7 | 蚁 8 | 枫 9 | 

椎 : 刁 0 | 憋 1 | 窖 2 | 枫 3 | 漾 4 | 焘 5 | 娩 6 | 娴 7 | 峦 8 | ─ 9 | 

潢 : 焘 0 | 娴 1 | 枫 2 | ─ 3 | 憋 4 | 璨 5 | 刁 6 | 夭 7 | 窖 8 | 囚 9 | 

绮 : 璨 0 | 夭 1 | ─ 2 | 囚 3 | 娴 4 | 跤 5 | 焘 6 | 疮 7 | 枫 8 | 蝉 9 | 

刨 : 跤 0 | 疮 1 | 囚 2 | 蝉 3 | 夭 4 | 圃 5 | 璨 6 | 莽 7 | ─ 8 | 坞 9 | 

蒗 : 圃 0 | 莽 1 | 蝉 2 | 坞 3 | 疮 4 | 悖 5 | 跤 6 | 渲 7 | 囚 8 | 撬 9 | 

酵 : 悖 0 | 渲 1 | 坞 2 | 撬 3 | 莽 4 | 涤 5 | 圃 6 | 猩 7 | 蝉 8 | 噬 9 | 

侠 : 涤 0 | 猩 1 | 撬 2 | 噬 3 | 渲 4 | 斓 5 | 悖 6 | 拙 7 | 坞 8 | 棣 9 | 

翘 : 斓 0 | 拙 1 | 噬 2 | 棣 3 | 猩 4 | 澎 5 | 涤 6 | 髦 7 | 撬 8 | 侮 9 | 

芹 : 澎 0 | 髦 1 | 棣 2 | 侮 3 | 拙 4 | 鲤 5 | 斓 6 | 翘 7 | 噬 8 | 藻 9 | 

① : 鲤 0 | 翘 1 | 侮 2 | 藻 3 | 髦 4 | 鳗 5 | 澎 6 | 劾 7 | 棣 8 | 暹 9 | 

镌 : 鳗 0 | 劾 1 | 藻 2 | 暹 3 | 翘 4 | 锲 5 | 鲤 6 | 蚌 7 | 侮 8 | 栓 9 | 

擂 : 锲 0 | 蚌 1 | 暹 2 | 栓 3 | 劾 4 | 倚 5 | 鳗 6 | 栾 7 | 藻 8 | ① 9 | 

蓓 : 倚 0 | 栾 1 | 栓 2 | ① 3 | 蚌 4 | 椿 5 | 锲 6 | 梗 7 | 暹 8 | 祠 9 | 

坞 : 椿 0 | 梗 1 | ① 2 | 祠 3 | 栾 4 | 憬 5 | 倚 6 | 坯 7 | 栓 8 | 姥 9 | 

摹 : 憬 0 | 坯 1 | 祠 2 | 姥 3 | 梗 4 | 隋 5 | 椿 6 | 煽 7 | ① 8 | 捣 9 | 

扒 : 隋 0 | 煽 1 | 姥 2 | 捣 3 | 坯 4 | 捎 5 | 憬 6 | 蜒 7 | 祠 8 | 颓 9 | 

涡 : 捎 0 | 蜒 1 | 捣 2 | 颓 3 | 煽 4 | 镌 5 | 隋 6 | 诠 7 | 姥 8 | 袍 9 | 

俨 : 镌 0 | 诠 1 | 颓 2 | 袍 3 | 蜒 4 | 乞 5 | 捎 6 | 夯 7 | 捣 8 | ② 9 | 

榕 : 乞 0 | 夯 1 | 袍 2 | ② 3 | 诠 4 | 憨 5 | 镌 6 | 邑 7 | 颓 8 | 嘲 9 | 

湃 : 憨 0 | 邑 1 | ② 2 | 嘲 3 | 夯 4 | 氯 5 | 乞 6 | 蠢 7 | 袍 8 | 祷 9 | 

梓 : 氯 0 | 蠢 1 | 嘲 2 | 祷 3 | 邑 4 | 岔 5 | 憨 6 | 痒 7 | ② 8 | 槟 9 | 

泗 : 岔 0 | 痒 1 | 祷 2 | 槟 3 | 蠢 4 | 榕 5 | 氯 6 | 漩 7 | 嘲 8 | 町 9 | 

驿 : 榕 0 | 漩 1 | 槟 2 | 町 3 | 痒 4 | 瘁 5 | 岔 6 | 纫 7 | 祷 8 | 瑾 9 | 

柑 : 瘁 0 | 纫 1 | 町 2 | 瑾 3 | 漩 4 | 鹭 5 | 榕 6 | Ｊ 7 | 槟 8 | 蜿 9 | 

锚 : 鹭 0 | Ｊ 1 | 瑾 2 | 蜿 3 | 纫 4 | 橱 5 | 瘁 6 | 缮 7 | 町 8 | 熄 9 | 

铱 : 橱 0 | 缮 1 | 蜿 2 | 熄 3 | Ｊ 4 | 峨 5 | 鹭 6 | 歼 7 | 瑾 8 | 哟 9 | 

蜡 : 峨 0 | 歼 1 | 熄 2 | 哟 3 | 缮 4 | 乖 5 | 橱 6 | 壑 7 | 蜿 8 | 谛 9 | 

滦 : 乖 0 | 壑 1 | 哟 2 | 谛 3 | 歼 4 | 蟹 5 | 峨 6 | 鳞 7 | 熄 8 | 憧 9 | 

鳅 : 蟹 0 | 鳞 1 | 谛 2 | 憧 3 | 壑 4 | 蘑 5 | 乖 6 | 咀 7 | 哟 8 | 皎 9 | 

迢 : 蘑 0 | 咀 1 | 憧 2 | 皎 3 | 鳞 4 | 帧 5 | 蟹 6 | 吏 7 | 谛 8 | 娶 9 | 

